start_date_iso,end_date_iso,base_time_seconds,increment,status,id,name,url,game_type,start_time,end_time,game_time_class,min_membership_level,registered_user_count,is_club,is_multi_club_type,min_players,max_players,min_rating,max_rating,event_type,year
"2024-02-13T09:59:51-08:00","2024-02-13T11:59:51-08:00",120,1,"finished",3210680,"Булет 13.02","https://www.chess.com/tournament/live/arena/-1302-3210680","chess",1707847191,1707854391,"lightning",10,20,true,false,,2000,,,"arena",2024
"2024-02-12T11:00:18-08:00","2024-02-12T13:00:18-08:00",300,0,"finished",3210216,"Блиц 12.02 -арена","https://www.chess.com/tournament/live/arena/-1202---3210216","chess",1707764418,1707771618,"blitz",10,15,true,false,,2000,,,"arena",2024
"2024-02-03T10:00:18-08:00","2024-02-03T11:30:18-08:00",180,2,"finished",3195916,"Crazyhouse Arena","https://www.chess.com/tournament/live/arena/crazyhouse-arena-3195916","crazyhouse",1706983218,1706988618,"blitz",10,10,true,false,,2000,,,"arena",2024
"2024-01-29T09:59:45-08:00","2024-01-29T11:59:45-08:00",180,2,"finished",3183172,"Пиратска Арена","https://www.chess.com/tournament/live/arena/--3183172","chess",1706551185,1706558385,"blitz",10,19,true,false,,2000,,,"arena",2024
"2024-01-26T10:30:44-08:00","2024-01-26T12:30:44-08:00",180,0,"finished",3181860,"Блиц 26.01 - арена","https://www.chess.com/tournament/live/arena/-2601----3181860","chess",1706293844,1706301044,"blitz",10,11,true,false,,2000,,,"arena",2024
"2024-01-24T10:01:05-08:00","2024-01-24T12:01:05-08:00",300,2,"finished",3170508,"960-арена 24.01","https://www.chess.com/tournament/live/arena/960--2401-3170508","chess960",1706119265,1706126465,"blitz",10,29,true,false,,2000,,,"arena",2024
"2024-01-22T11:01:16-08:00","2024-01-22T12:31:16-08:00",120,1,"finished",3169505,"Булит 23.01 арена","https://www.chess.com/tournament/live/arena/-2301--3169505","chess",1705950076,1705955476,"lightning",10,11,true,false,,2000,,,"arena",2024
"2024-01-21T06:00:14-08:00","2024-01-21T08:00:14-08:00",180,0,"finished",3168822,"Блиц 21.01 арена","https://www.chess.com/tournament/live/arena/-2101--3168822","chess",1705845614,1705852814,"blitz",10,25,true,false,,2000,,,"arena",2024
"2024-01-17T10:30:21-08:00","2024-01-17T11:30:21-08:00",60,1,"finished",3156864,"Булит 17.01 - арена","https://www.chess.com/tournament/live/arena/-1701----3156864","chess",1705516221,1705519821,"lightning",10,14,true,false,,2000,,,"arena",2024
"2024-01-14T10:00:17-08:00","2024-01-14T12:00:17-08:00",180,0,"finished",3155451,"Блиц 14.01 арена","https://www.chess.com/tournament/live/arena/-1401--3155451","chess",1705255217,1705262417,"blitz",10,14,true,false,,2000,,,"arena",2024
"2024-01-13T10:00:41-08:00","2024-01-13T12:00:41-08:00",180,2,"finished",3154919,"Блиц 13.01 арена","https://www.chess.com/tournament/live/arena/-1301--3154919","chess",1705168841,1705176041,"blitz",10,21,true,false,,2000,,,"arena",2024
"2024-01-08T09:59:38-08:00","2024-01-08T11:59:38-08:00",180,2,"finished",3142625,"Blitz 3/2","https://www.chess.com/tournament/live/arena/blitz-32-3142625","chess",1704736778,1704743978,"blitz",10,13,true,false,,2000,,,"arena",2024
"2024-01-04T10:00:11-08:00","2024-01-04T12:00:11-08:00",120,1,"finished",3131046,"Arena 2/1","https://www.chess.com/tournament/live/arena/arena-21-3131046","chess",1704391211,1704398411,"lightning",10,20,true,false,,2000,,,"arena",2024
"2024-01-03T10:00:18-08:00","2024-01-03T12:00:18-08:00",300,2,"finished",3130668,"Arena 960 Blitz 5/2","https://www.chess.com/tournament/live/arena/arena-960-blitz-52-3130668","chess960",1704304818,1704312018,"blitz",10,15,true,false,,2000,,,"arena",2024
"2023-12-28T10:00:33-08:00","2023-12-28T12:00:33-08:00",180,2,"finished",3128627,"Blitz Arena ","https://www.chess.com/tournament/live/arena/blitz-arena--3128627","chess",1703786433,1703793633,"blitz",10,11,true,false,,2000,,,"arena",2023
"2023-12-21T10:30:03-08:00","2023-12-21T11:30:03-08:00",180,0,"finished",3126282,"Блиц 21.12 арена","https://www.chess.com/tournament/live/arena/-2112--3126282","chess",1703183403,1703187003,"blitz",10,11,true,false,,2000,,,"arena",2023
"2023-12-19T10:30:01-08:00","2023-12-19T12:00:01-08:00",120,1,"finished",3125611,"Булит 19.12 арена","https://www.chess.com/tournament/live/arena/-1912--3125611","chess",1703010601,1703016001,"lightning",10,15,true,false,,2000,,,"arena",2023
"2023-12-14T09:59:55-08:00","2023-12-14T11:59:55-08:00",120,1,"finished",3093827,"Arena bullet 2/1","https://www.chess.com/tournament/live/arena/arena-bullet-21-3093827","chess",1702576795,1702583995,"lightning",10,21,true,false,,2000,,,"arena",2023
"2023-12-12T09:59:53-08:00","2023-12-12T11:59:53-08:00",300,2,"finished",3093040,"Arena 960, blitz 5/2","https://www.chess.com/tournament/live/arena/arena-960-blitz-52-3093040","chess960",1702403993,1702411193,"blitz",10,23,true,false,,2000,,,"arena",2023
"2023-11-30T10:00:34-08:00","2023-11-30T12:00:34-08:00",600,2,"finished",3058444,"Arena 10/2","https://www.chess.com/tournament/live/arena/arena-102-3058444","chess",1701367234,1701374434,"standard",10,9,true,false,,2000,,,"arena",2023
"2023-11-29T10:00:09-08:00","2023-11-29T12:00:09-08:00",600,0,"finished",3058049,"Rapid Arena 10/0","https://www.chess.com/tournament/live/arena/rapid-arena-100-3058049","chess",1701280809,1701288009,"standard",10,11,true,false,,2000,,,"arena",2023
"2023-11-28T10:59:49-08:00","2023-11-28T12:59:49-08:00",180,0,"finished",3057714,"Блиц 28.11-арена","https://www.chess.com/tournament/live/arena/-2811--3057714","chess",1701197989,1701205189,"blitz",10,16,true,false,,2000,,,"arena",2023
"2023-11-27T10:00:28-08:00","2023-11-27T11:30:28-08:00",120,1,"finished",3057307,"Arena 2/1","https://www.chess.com/tournament/live/arena/arena-21-3057307","chess",1701108028,1701113428,"lightning",10,17,true,false,,2000,,,"arena",2023
"2023-11-24T09:59:51-08:00","2023-11-24T11:59:51-08:00",180,2,"finished",3056191,"960 Arena 3/2","https://www.chess.com/tournament/live/arena/960-arena-32-3056191","chess960",1700848791,1700855991,"blitz",10,14,true,false,,2000,,,"arena",2023
"2023-11-22T10:00:29-08:00","2023-11-22T12:00:29-08:00",300,2,"finished",3045532,"Arena 5/2","https://www.chess.com/tournament/live/arena/arena-52-3045532","chess",1700676029,1700683229,"blitz",10,18,true,false,,2000,,,"arena",2023
"2023-11-21T10:30:39-08:00","2023-11-21T12:30:39-08:00",180,0,"finished",3045208,"Блиц -21.11-арена","https://www.chess.com/tournament/live/arena/--2111--3045208","chess",1700591439,1700598639,"blitz",10,16,true,false,,2000,,,"arena",2023
"2023-11-15T10:01:29-08:00","2023-11-15T12:01:29-08:00",180,2,"finished",3032843,"Arena Blitz","https://www.chess.com/tournament/live/arena/arena-blitz-3032843","chess",1700071289,1700078489,"blitz",10,18,true,false,,2000,,,"arena",2023
"2023-11-10T10:30:41-08:00","2023-11-10T12:30:41-08:00",120,1,"finished",3031083,"Белите  10.11","https://www.chess.com/tournament/live/arena/--1011-3031083","chess",1699641041,1699648241,"lightning",10,14,true,false,,2000,,,"arena",2023
"2023-11-08T09:59:43-08:00","2023-11-08T11:59:43-08:00",180,2,"finished",3020311,"Blitz 3/2","https://www.chess.com/tournament/live/arena/blitz-32-3020311","chess",1699466383,1699473583,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-11-07T11:46:01-08:00","2023-11-07T13:16:01-08:00",180,0,"finished",3020052,"Блиц - 07.11","https://www.chess.com/tournament/live/arena/---0711-3020052","chess",1699386361,1699391761,"blitz",10,11,true,false,,2000,,,"arena",2023
"2023-11-06T11:30:30-08:00","2023-11-06T13:30:30-08:00",180,2,"finished",3019707,"Блиц 06.11","https://www.chess.com/tournament/live/arena/-0611-3019707","chess",1699299030,1699306230,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-11-03T11:00:12-07:00","2023-11-03T13:00:12-07:00",120,1,"finished",3018509,"Bullet Arena","https://www.chess.com/tournament/live/arena/bullet-arena-3018509","chess",1699034412,1699041612,"lightning",10,15,true,false,,2000,,,"arena",2023
"2023-11-02T11:01:49-07:00","2023-11-02T13:01:49-07:00",180,2,"finished",3008061,"Blitz Arena","https://www.chess.com/tournament/live/arena/blitz-arena-3008061","chess",1698948109,1698955309,"blitz",10,18,true,false,,2000,,,"arena",2023
"2023-10-30T12:30:28-07:00","2023-10-30T14:30:28-07:00",300,0,"finished",3007023,"Блиц - 30.10","https://www.chess.com/tournament/live/arena/---3010-3007023","chess",1698694228,1698701428,"blitz",10,10,true,false,,2000,,,"arena",2023
"2023-10-29T12:30:20-07:00","2023-10-29T14:30:20-07:00",120,1,"finished",3006620,"Булит 29.10","https://www.chess.com/tournament/live/arena/-2910-3006620","chess",1698607820,1698615020,"lightning",10,9,true,false,,2000,,,"arena",2023
"2023-10-27T10:00:07-07:00","2023-10-27T12:00:07-07:00",180,2,"finished",3005768,"Арена 3/2","https://www.chess.com/tournament/live/arena/-32-3005768","chess",1698426007,1698433207,"blitz",10,20,true,false,,2000,,,"arena",2023
"2023-10-24T10:00:57-07:00","2023-10-24T11:30:57-07:00",60,1,"finished",2994685,"Булит - 24.10 ","https://www.chess.com/tournament/live/arena/---2410--2994685","chess",1698166857,1698172257,"lightning",10,20,true,false,,2000,,,"arena",2023
"2023-10-23T10:00:13-07:00","2023-10-23T12:00:13-07:00",180,2,"finished",2994298,"960 Arena","https://www.chess.com/tournament/live/arena/960-arena-2994298","chess960",1698080413,1698087613,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-10-19T10:45:09-07:00","2023-10-19T12:15:09-07:00",180,2,"finished",2982776,"960 - 19.10 - АРЕНА","https://www.chess.com/tournament/live/arena/960---1910----2982776","chess960",1697737509,1697742909,"blitz",10,11,true,false,,2000,,,"arena",2023
"2023-10-17T10:30:27-07:00","2023-10-17T12:00:27-07:00",120,1,"finished",2982066,"Arena Bullet","https://www.chess.com/tournament/live/arena/arena-bullet-2982066","chess",1697563827,1697569227,"lightning",10,15,true,false,,2000,,,"arena",2023
"2023-10-15T10:00:44-07:00","2023-10-15T12:00:44-07:00",180,2,"finished",2981333,"Arena 960","https://www.chess.com/tournament/live/arena/arena-960-2981333","chess960",1697389244,1697396444,"blitz",10,26,true,false,,2000,,,"arena",2023
"2023-10-12T10:00:14-07:00","2023-10-12T12:00:14-07:00",600,0,"finished",2970218,"Rapid Arena","https://www.chess.com/tournament/live/arena/rapid-arena-2970218","chess",1697130014,1697137214,"standard",10,22,true,false,,2000,,,"arena",2023
"2023-10-11T10:45:39-07:00","2023-10-11T12:15:39-07:00",60,0,"finished",2969953,"Arena Bullet","https://www.chess.com/tournament/live/arena/arena-bullet-2969953","chess",1697046339,1697051739,"lightning",10,11,true,false,,2000,,,"arena",2023
"2023-10-10T10:30:54-07:00","2023-10-10T12:00:54-07:00",180,2,"finished",2969553,"Arena 960","https://www.chess.com/tournament/live/arena/arena-960-2969553","chess960",1696959054,1696964454,"blitz",10,24,true,false,,2000,,,"arena",2023
"2023-10-09T10:30:48-07:00","2023-10-09T11:30:48-07:00",60,1,"finished",2969189,"Булит  09.10 - арена","https://www.chess.com/tournament/live/arena/--0910----2969189","chess",1696872648,1696876248,"lightning",10,16,true,false,,2000,,,"arena",2023
"2023-10-08T11:00:14-07:00","2023-10-08T13:00:14-07:00",180,0,"finished",2968795,"Блиц 08.10 - арена","https://www.chess.com/tournament/live/arena/-0810----2968795","chess",1696788014,1696795214,"blitz",10,30,true,false,,2000,,,"arena",2023
"2023-10-05T11:00:04-07:00","2023-10-05T13:00:04-07:00",180,0,"finished",2967734,"Блиц - 05.10 арена","https://www.chess.com/tournament/live/arena/---0510--2967734","chess",1696528804,1696536004,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-10-02T11:01:05-07:00","2023-10-02T13:01:05-07:00",120,1,"finished",2966495,"Булит -арена 02.10","https://www.chess.com/tournament/live/arena/---0210-2966495","chess",1696269665,1696276865,"lightning",10,15,true,false,,2000,,,"arena",2023
"2023-09-28T10:00:20-07:00","2023-09-28T12:00:20-07:00",180,2,"finished",2955021,"Arena Blitz 3/2","https://www.chess.com/tournament/live/arena/arena-blitz-32-2955021","chess",1695920420,1695927620,"blitz",10,26,true,false,,2000,,,"arena",2023
"2023-09-25T10:00:22-07:00","2023-09-25T12:00:22-07:00",180,2,"finished",2953925,"Arena 960","https://www.chess.com/tournament/live/arena/arena-960-2953925","chess960",1695661222,1695668422,"blitz",10,17,true,false,,2000,,,"arena",2023
"2023-09-21T10:00:48-07:00","2023-09-21T12:00:48-07:00",180,2,"finished",2942444,"Arena Blitz 3/2","https://www.chess.com/tournament/live/arena/arena-blitz-32-2942444","chess",1695315648,1695322848,"blitz",10,23,true,false,,2000,,,"arena",2023
"2023-09-20T11:07:31-07:00","2023-09-20T12:07:31-07:00",120,1,"finished",2942132,"960 арена","https://www.chess.com/tournament/live/arena/960--2942132","chess960",1695233251,1695236851,"lightning",10,11,true,false,,2000,,,"arena",2023
"2023-09-19T09:59:57-07:00","2023-09-19T11:59:57-07:00",600,0,"finished",2941669,"Rapid Arena 10/0","https://www.chess.com/tournament/live/arena/rapid-arena-100-2941669","chess",1695142797,1695149997,"standard",10,26,true,false,,2000,,,"arena",2023
"2023-09-15T11:00:01-07:00","2023-09-15T12:00:01-07:00",60,1,"finished",2940308,"Bullet 1/1","https://www.chess.com/tournament/live/arena/bullet-11-2940308","chess",1694800801,1694804401,"lightning",10,14,true,false,,2000,,,"arena",2023
"2023-09-14T10:40:28-07:00","2023-09-14T11:40:28-07:00",120,1,"finished",2929963,"Булит арена 14.9","https://www.chess.com/tournament/live/arena/--149-2929963","chess",1694713228,1694716828,"lightning",10,11,true,false,,2000,,,"arena",2023
"2023-09-13T10:00:24-07:00","2023-09-13T12:00:24-07:00",180,2,"finished",2929572,"Arena Blitz","https://www.chess.com/tournament/live/arena/arena-blitz-2929572","chess",1694624424,1694631624,"blitz",10,24,true,false,,2000,,,"arena",2023
"2023-09-10T10:00:13-07:00","2023-09-10T12:00:13-07:00",180,2,"finished",2928384,"Arena 960","https://www.chess.com/tournament/live/arena/arena-960-2928384","chess960",1694365213,1694372413,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-09-09T09:59:50-07:00","2023-09-09T11:59:50-07:00",180,2,"finished",2928099,"960 Arena ","https://www.chess.com/tournament/live/arena/960-arena--2928099","chess",1694278790,1694285990,"blitz",10,12,true,false,,2000,,,"arena",2023
"2023-09-08T10:00:27-07:00","2023-09-08T11:30:27-07:00",60,1,"finished",2927784,"Arena 1/1","https://www.chess.com/tournament/live/arena/arena-11-2927784","chess",1694192427,1694197827,"lightning",10,20,true,false,,2000,,,"arena",2023
"2023-08-31T11:00:35-07:00","2023-08-31T11:30:35-07:00",60,0,"finished",2904928,"Булит 31.8","https://www.chess.com/tournament/live/arena/-318-2904928","chess",1693504835,1693506635,"lightning",10,10,true,false,,2000,,,"arena",2023
"2023-08-28T10:00:32-07:00","2023-08-28T11:30:32-07:00",180,0,"finished",2903830,"Блиц 28.8 арена","https://www.chess.com/tournament/live/arena/-288--2903830","chess",1693242032,1693247432,"blitz",10,25,true,false,,2000,,,"arena",2023
"2023-08-25T10:15:02-07:00","2023-08-25T11:45:02-07:00",180,2,"finished",2902798,"Блиц 25.8 >1600","https://www.chess.com/tournament/live/arena/-258-1600-2902798","chess",1692983702,1692989102,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-08-23T09:31:01-07:00","2023-08-23T12:31:01-07:00",600,5,"finished",2892084,"Arena Rapid 10/5","https://www.chess.com/tournament/live/arena/arena-rapid-105-2892084","chess",1692808261,1692819061,"standard",10,20,true,false,,2000,,,"arena",2023
"2023-08-22T10:29:49-07:00","2023-08-22T11:59:49-07:00",180,0,"finished",2891836,"Arena Blitz 3/0","https://www.chess.com/tournament/live/arena/arena-blitz-30-2891836","chess",1692725389,1692730789,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-08-21T10:30:16-07:00","2023-08-21T12:30:16-07:00",180,2,"finished",2891509,"Arena 960 Blitz 3/2","https://www.chess.com/tournament/live/arena/arena-960-blitz-32-2891509","chess960",1692639016,1692646216,"blitz",10,17,true,false,,2000,,,"arena",2023
"2023-08-20T10:59:44-07:00","2023-08-20T12:59:44-07:00",120,1,"finished",2891156,"Булит 20.8","https://www.chess.com/tournament/live/arena/-208-2891156","chess",1692554384,1692561584,"lightning",10,14,true,false,,2000,,,"arena",2023
"2023-08-18T10:00:40-07:00","2023-08-18T11:30:40-07:00",300,2,"finished",2890415,"Blitz Arena 18.08","https://www.chess.com/tournament/live/arena/blitz-arena-1808-2890415","chess",1692378040,1692383440,"blitz",10,17,true,false,,2000,,,"arena",2023
"2023-08-16T10:04:35-07:00","2023-08-16T12:04:35-07:00",180,2,"finished",2879694,"Arena Summer 16.08","https://www.chess.com/tournament/live/arena/arena-summer-1608-2879694","chess",1692205475,1692212675,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-08-13T10:00:49-07:00","2023-08-13T11:30:49-07:00",60,0,"finished",2878578,"Булит 13.8-арена","https://www.chess.com/tournament/live/arena/-138--2878578","chess",1691946049,1691951449,"lightning",10,21,true,false,,2000,,,"arena",2023
"2023-08-12T11:00:27-07:00","2023-08-12T12:30:27-07:00",300,0,"finished",2878284,"Блиц 12.8 арена","https://www.chess.com/tournament/live/arena/-128--2878284","chess",1691863227,1691868627,"blitz",10,20,true,false,,2000,,,"arena",2023
"2023-08-07T10:01:01-07:00","2023-08-07T12:01:01-07:00",120,1,"finished",2866460,"Булит 7.8-арена","https://www.chess.com/tournament/live/arena/-78--2866460","chess",1691427661,1691434861,"lightning",10,22,true,false,,2000,,,"arena",2023
"2023-08-06T10:05:21-07:00","2023-08-06T11:35:21-07:00",300,2,"finished",2866098,"friendly","https://www.chess.com/tournament/live/arena/friendly-2866098","chess960",1691341521,1691346921,"blitz",10,25,true,false,,2000,,,"arena",2023
"2023-08-05T10:30:18-07:00","2023-08-05T12:00:18-07:00",180,0,"finished",2865762,"Blitz Arena 2","https://www.chess.com/tournament/live/arena/blitz-arena-2-2865762","chess",1691256618,1691262018,"blitz",10,8,true,false,,2000,,,"arena",2023
"2023-08-04T10:00:32-07:00","2023-08-04T12:00:32-07:00",180,2,"finished",2865337,"Summer Arena Blitz","https://www.chess.com/tournament/live/arena/summer-arena-blitz-2865337","chess",1691168432,1691175632,"blitz",10,22,true,false,,2000,,,"arena",2023
"2023-08-03T09:59:55-07:00","2023-08-03T11:59:55-07:00",600,2,"finished",2854883,"Summer Rapid Arena 2","https://www.chess.com/tournament/live/arena/summer-rapid-arena-2-2854883","chess",1691081995,1691089195,"standard",10,11,true,false,,2000,,,"arena",2023
"2023-08-02T09:59:42-07:00","2023-08-02T11:59:42-07:00",180,2,"finished",2854506,"Summer Blitz Arena 2","https://www.chess.com/tournament/live/arena/summer-blitz-arena-2-2854506","chess",1690995582,1691002782,"blitz",10,15,true,false,,2000,,,"arena",2023
"2023-08-01T10:01:26-07:00","2023-08-01T12:01:26-07:00",120,1,"finished",2854089,"Summer Bullet Arena","https://www.chess.com/tournament/live/arena/summer-bullet-arena-2854089","chess",1690909286,1690916486,"lightning",10,15,true,false,,2000,,,"arena",2023
"2023-07-27T10:00:50-07:00","2023-07-27T12:00:50-07:00",600,0,"finished",2842326,"Summer Rapid Arena","https://www.chess.com/tournament/live/arena/summer-rapid-arena-2842326","chess",1690477250,1690484450,"standard",10,20,true,false,,2000,,,"arena",2023
"2023-07-26T10:00:02-07:00","2023-07-26T12:00:02-07:00",300,0,"finished",2842010,"Summer Blitz Arena","https://www.chess.com/tournament/live/arena/summer-blitz-arena-2842010","chess",1690390802,1690398002,"blitz",10,15,true,false,,2000,,,"arena",2023
"2023-07-25T10:01:40-07:00","2023-07-25T12:01:40-07:00",120,1,"finished",2841710,"Summer Bullet Arena","https://www.chess.com/tournament/live/arena/summer-bullet-arena-2841710","chess",1690304500,1690311700,"lightning",10,21,true,false,,2000,,,"arena",2023
"2023-07-20T09:44:48-07:00","2023-07-20T10:44:48-07:00",120,1,"finished",2830128,"Булит - 20.7 арена","https://www.chess.com/tournament/live/arena/---207--2830128","chess",1689871488,1689875088,"lightning",10,10,true,false,,2000,,,"arena",2023
"2023-07-18T10:30:46-07:00","2023-07-18T12:30:46-07:00",180,0,"finished",2829366,"Блиц -18.7 арена","https://www.chess.com/tournament/live/arena/--187--2829366","chess",1689701446,1689708646,"blitz",10,21,true,false,,2000,,,"arena",2023
"2023-07-17T10:30:54-07:00","2023-07-17T12:30:54-07:00",180,2,"finished",2829042,"Блиц -17.7","https://www.chess.com/tournament/live/arena/--177-2829042","chess",1689615054,1689622254,"blitz",10,11,true,false,,2000,,,"arena",2023
"2023-07-15T11:00:14-07:00","2023-07-15T13:00:14-07:00",180,0,"finished",2828415,"Блиц-15.7 арена","https://www.chess.com/tournament/live/arena/-157--2828415","chess",1689444014,1689451214,"blitz",10,14,true,false,,2000,,,"arena",2023
"2023-07-14T10:30:30-07:00","2023-07-14T12:30:30-07:00",180,2,"finished",2828059,"Блиц - 14.7","https://www.chess.com/tournament/live/arena/---147-2828059","chess",1689355830,1689363030,"blitz",10,15,true,false,,2000,,,"arena",2023
"2023-07-13T11:00:40-07:00","2023-07-13T13:00:40-07:00",120,1,"finished",2817766,"Булит  13.7 арена","https://www.chess.com/tournament/live/arena/--137--2817766","chess",1689271240,1689278440,"lightning",10,11,true,false,,2000,,,"arena",2023
"2023-07-07T11:00:21-07:00","2023-07-07T13:00:21-07:00",120,1,"finished",2815761,"Булит-7.7 - арена","https://www.chess.com/tournament/live/arena/-77----2815761","chess",1688752821,1688760021,"lightning",10,18,true,false,,2000,,,"arena",2023
"2023-07-06T11:01:18-07:00","2023-07-06T13:01:18-07:00",600,2,"finished",2805436,"Рапид - 6.7 - арена","https://www.chess.com/tournament/live/arena/---67----2805436","chess",1688666478,1688673678,"standard",10,16,true,false,,2000,,,"arena",2023
"2023-07-04T10:00:08-07:00","2023-07-04T12:00:08-07:00",180,2,"finished",2804756,"Блиц-4.7 арена","https://www.chess.com/tournament/live/arena/-47--2804756","chess",1688490008,1688497208,"blitz",10,18,true,false,,2000,,,"arena",2023
"2023-07-03T11:30:06-07:00","2023-07-03T13:00:06-07:00",180,0,"finished",2804468,"Блиц 3.7 арена","https://www.chess.com/tournament/live/arena/-37--2804468","chess",1688409006,1688414406,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-07-01T10:00:37-07:00","2023-07-01T11:30:37-07:00",120,1,"finished",2793804,"Булит 1 арена","https://www.chess.com/tournament/live/arena/-1--2793804","chess",1688230837,1688236237,"lightning",10,14,true,false,,2000,,,"arena",2023
"2023-06-30T11:30:08-07:00","2023-06-30T12:30:08-07:00",120,1,"finished",2793483,"Булит 30 арена","https://www.chess.com/tournament/live/arena/-30--2793483","chess",1688149808,1688153408,"lightning",10,12,true,false,,2000,,,"arena",2023
"2023-06-29T10:00:19-07:00","2023-06-29T12:00:19-07:00",180,0,"finished",2783106,"Блиц 29 арена","https://www.chess.com/tournament/live/arena/-29--2783106","chess",1688058019,1688065219,"blitz",10,16,true,false,,2000,,,"arena",2023
"2023-06-28T09:59:55-07:00","2023-06-28T11:59:55-07:00",120,1,"finished",2782710,"Булит 28 арена","https://www.chess.com/tournament/live/arena/-28--2782710","chess",1687971595,1687978795,"lightning",10,27,true,false,,2000,,,"arena",2023
"2023-06-24T10:00:19-07:00","2023-06-24T12:00:19-07:00",120,1,"finished",2771320,"Булит 24 арена","https://www.chess.com/tournament/live/arena/-24--2771320","chess",1687626019,1687633219,"lightning",10,23,true,false,,2000,,,"arena",2023
"2023-06-23T10:00:17-07:00","2023-06-23T11:00:17-07:00",180,2,"finished",2770894,"Блиц - 23 арена","https://www.chess.com/tournament/live/arena/---23--2770894","chess",1687539617,1687543217,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-06-22T10:01:09-07:00","2023-06-22T11:31:09-07:00",180,0,"finished",2750303,"Блиц - 22 арена","https://www.chess.com/tournament/live/arena/---22--2750303","chess",1687453269,1687458669,"blitz",10,19,true,false,,2000,,,"arena",2023
"2023-06-20T09:30:29-07:00","2023-06-20T10:30:29-07:00",120,1,"finished",2749834,"Булет-20 арена","https://www.chess.com/tournament/live/arena/-20--2749834","chess",1687278629,1687282229,"lightning",10,12,true,false,,2000,,,"arena",2023
"2023-06-19T09:30:28-07:00","2023-06-19T10:00:28-07:00",120,1,"finished",2749432,"Булит-арена -19","https://www.chess.com/tournament/live/arena/---19-2749432","chess",1687192228,1687194028,"lightning",10,15,true,false,,2000,,,"arena",2023